airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate
IndiGo,338,Pune,Lucknow,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:50,02:10,130.00,4420
IndiGo,768,Jaipur,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,02:55,02:15,135.00,4590
IndiGo,6129,Bhubaneswar,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,03:00,02:20,140.00,4760
AirAsia India,319,Kolkata,Bhubaneswar,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:40,14:35,13:55,835.00,1900
IndiGo,361,Pune,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:45,02:20,01:35,95.00,3230
AirAsia India,736,Pune,Delhi,"Sunday,Monday,Wednesday,Saturday",Y,N,Y,N,N,Y,Y,00:45,03:00,02:15,135.00,4590
IndiGo,6972,Patna,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:45,03:30,02:45,165.00,5610
IndiGo,6991,Bengaluru,Delhi,Saturday,N,N,N,N,N,Y,N,00:45,03:30,02:45,165.00,5610
AirAsia India,736,Bengaluru,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:45,03:35,02:50,170.00,5780
IndiGo,359,Kochi,Thiruvananthapuram,"Sunday,Monday,Wednesday,Friday",Y,N,Y,N,Y,N,Y,00:50,01:35,00:45,45.00,1530
IndiGo,617,Goa,Hyderabad,Saturday,N,N,N,N,N,Y,N,00:50,02:05,01:15,75.00,2550
IndiGo,617,Goa,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,02:05,01:15,75.00,2550
SpiceJet,6287,Mumbai,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,02:40,01:50,110.00,3740
SpiceJet,287,Mumbai,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,02:50,02:00,120.00,4080
AirAsia India,738,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,03:00,02:10,130.00,4420
IndiGo,6532,Goa,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:50,03:25,02:35,155.00,5270
IndiGo,5532,Goa,Delhi,Friday,N,N,N,N,Y,N,N,00:50,03:30,02:40,160.00,5440
SpiceJet,4024,Bengaluru,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:55,01:55,01:00,60.00,2040
IndiGo,6955,Goa,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,00:55,02:25,01:30,90.00,3060
IndiGo,837,Kochi,Delhi,Saturday,N,N,N,N,N,Y,N,00:55,04:10,03:15,195.00,6630
